,filename,fail
0,CARMEN-I_CC_2.txt,1
1,CARMEN-I_IA_ANTECEDENTES_44.txt,1
2,CARMEN-I_IA_ANTECEDENTES_76.txt,1
3,CARMEN-I_IA_ANTECEDENTES_94.txt,1
4,CARMEN-I_IA_EVOL_1.txt,1
5,CARMEN-I_IA_EVOL_101.txt,1
6,CARMEN-I_IA_EVOL_102.txt,1
7,CARMEN-I_IA_EVOL_104.txt,1
8,CARMEN-I_IA_EVOL_105.txt,1
9,CARMEN-I_IA_EVOL_111.txt,1
10,CARMEN-I_IA_EVOL_115.txt,1
11,CARMEN-I_IA_EVOL_118.txt,1
12,CARMEN-I_IA_EVOL_119.txt,1
13,CARMEN-I_IA_EVOL_121.txt,1
14,CARMEN-I_IA_EVOL_122.txt,1
15,CARMEN-I_IA_EVOL_123.txt,1
16,CARMEN-I_IA_EVOL_127.txt,1
17,CARMEN-I_IA_EVOL_13.txt,1
18,CARMEN-I_IA_EVOL_132.txt,1
19,CARMEN-I_IA_EVOL_133.txt,1
20,CARMEN-I_IA_EVOL_134.txt,1
21,CARMEN-I_IA_EVOL_135.txt,1
22,CARMEN-I_IA_EVOL_137.txt,1
23,CARMEN-I_IA_EVOL_138.txt,1
24,CARMEN-I_IA_EVOL_140.txt,1
25,CARMEN-I_IA_EVOL_141.txt,1
26,CARMEN-I_IA_EVOL_144.txt,1
27,CARMEN-I_IA_EVOL_148.txt,1
28,CARMEN-I_IA_EVOL_15.txt,1
29,CARMEN-I_IA_EVOL_19.txt,1
30,CARMEN-I_IA_EVOL_20.txt,1
31,CARMEN-I_IA_EVOL_21.txt,1
32,CARMEN-I_IA_EVOL_23.txt,1
33,CARMEN-I_IA_EVOL_34.txt,1
34,CARMEN-I_IA_EVOL_49.txt,1
35,CARMEN-I_IA_EVOL_51.txt,1
36,CARMEN-I_IA_EVOL_53.txt,1
37,CARMEN-I_IA_EVOL_54.txt,1
38,CARMEN-I_IA_EVOL_56.txt,1
39,CARMEN-I_IA_EVOL_6.txt,1
40,CARMEN-I_IA_EVOL_68.txt,1
41,CARMEN-I_IA_EVOL_69.txt,1
42,CARMEN-I_IA_EVOL_7.txt,1
43,CARMEN-I_IA_EVOL_74.txt,1
44,CARMEN-I_IA_EVOL_75.txt,1
45,CARMEN-I_IA_EVOL_84.txt,1
46,CARMEN-I_IA_EVOL_88.txt,1
47,CARMEN-I_IA_EVOL_89.txt,1
48,CARMEN-I_IA_EVOL_9.txt,1
49,CARMEN-I_IA_EVOL_92.txt,1
